VILLCODE,site_id,village,household_no,people_total
65000010001,新北市板橋區,留侯里,690,1665
65000010002,新北市板橋區,流芳里,629,1480
65000010003,新北市板橋區,赤松里,481,1036
65000010004,新北市板橋區,黃石里,532,1294
65000010005,新北市板橋區,挹秀里,873,2006
65000010006,新北市板橋區,湳興里,2270,5288
65000010007,新北市板橋區,新興里,1561,3245
65000010008,新北市板橋區,社後里,5635,9875
65000010009,新北市板橋區,香社里,1789,4543
65000010010,新北市板橋區,中正里,2452,5775
65000010011,新北市板橋區,自強里,2073,5190
65000010012,新北市板橋區,自立里,1100,2773
65000010013,新北市板橋區,光華里,1138,2722
65000010014,新北市板橋區,國光里,1550,3706
65000010015,新北市板橋區,港尾里,1116,2979
65000010016,新北市板橋區,金華里,1496,4059
65000010017,新北市板橋區,港德里,1913,4758
65000010018,新北市板橋區,民權里,1088,2640
65000010019,新北市板橋區,建國里,1432,3589
65000010020,新北市板橋區,漢生里,1695,4355
65000010021,新北市板橋區,公舘里,1524,3998
65000010022,新北市板橋區,新民里,1741,4547
65000010023,新北市板橋區,幸福里,1576,4071
65000010024,新北市板橋區,忠誠里,1768,4371
65000010025,新北市板橋區,百壽里,1241,2993
65000010026,新北市板橋區,介壽里,1276,3187
65000010027,新北市板橋區,新埔里,887,2109
65000010028,新北市板橋區,華江里,3280,7932
65000010029,新北市板橋區,江翠里,2124,5254
65000010030,新北市板橋區,純翠里,2143,5562
65000010031,新北市板橋區,溪頭里,3118,7047
65000010032,新北市板橋區,聯翠里,1675,3764
65000010033,新北市板橋區,宏翠里,2547,5570
65000010034,新北市板橋區,仁翠里,1110,2899
65000010035,新北市板橋區,新翠里,3299,8351
65000010036,新北市板橋區,吉翠里,1407,3828
65000010037,新北市板橋區,德翠里,2735,7407
65000010038,新北市板橋區,滿翠里,1161,3035
65000010039,新北市板橋區,明翠里,1974,4817
65000010040,新北市板橋區,松翠里,1428,3412
65000010041,新北市板橋區,柏翠里,2203,4879
65000010042,新北市板橋區,龍翠里,2010,5025
65000010043,新北市板橋區,華翠里,1382,3637
65000010044,新北市板橋區,忠翠里,4540,10953
65000010045,新北市板橋區,嵐翠里,974,2467
65000010046,新北市板橋區,文翠里,1550,3979
65000010047,新北市板橋區,青翠里,1202,3005
65000010048,新北市板橋區,懷翠里,2268,6219
65000010049,新北市板橋區,福翠里,576,1397
65000010050,新北市板橋區,港嘴里,2414,6049
65000010051,新北市板橋區,振興里,1694,4407
65000010052,新北市板橋區,振義里,1658,4252
65000010053,新北市板橋區,光復里,1373,3407
65000010054,新北市板橋區,埔墘里,2612,6333
65000010055,新北市板橋區,長壽里,1107,2961
65000010056,新北市板橋區,福壽里,1303,3309
65000010057,新北市板橋區,海山里,2813,8252
65000010058,新北市板橋區,九如里,1109,2946
65000010059,新北市板橋區,玉光里,2250,5643
65000010060,新北市板橋區,光仁里,1029,2955
65000010061,新北市板橋區,埤墘里,1836,4790
65000010062,新北市板橋區,永安里,1460,3797
65000010063,新北市板橋區,雙玉里,1607,4393
65000010064,新北市板橋區,廣新里,1294,3707
65000010065,新北市板橋區,深丘里,3748,9275
65000010066,新北市板橋區,香丘里,1554,4057
65000010067,新北市板橋區,西安里,1075,2832
65000010068,新北市板橋區,東丘里,1679,4727
65000010069,新北市板橋區,長安里,1737,4910
65000010070,新北市板橋區,福丘里,2288,5148
65000010071,新北市板橋區,福祿里,1643,4128
65000010072,新北市板橋區,民族里,1933,5326
65000010073,新北市板橋區,國泰里,1471,3793
65000010074,新北市板橋區,福德里,1971,5116
65000010075,新北市板橋區,景星里,1566,3470
65000010076,新北市板橋區,福星里,1365,3565
65000010077,新北市板橋區,鄉雲里,1679,3836
65000010078,新北市板橋區,廣德里,2625,6956
65000010079,新北市板橋區,大豐里,1819,4748
65000010080,新北市板橋區,重慶里,3313,8851
65000010081,新北市板橋區,仁愛里,1167,3076
65000010082,新北市板橋區,和平里,1751,4317
65000010083,新北市板橋區,廣福里,1589,4162
65000010084,新北市板橋區,華興里,1695,4244
65000010085,新北市板橋區,華貴里,1000,2603
65000010086,新北市板橋區,華德里,3010,7216
65000010087,新北市板橋區,華東里,3567,8031
65000010088,新北市板橋區,信義里,1773,4444
65000010089,新北市板橋區,浮洲里,1457,3836
65000010090,新北市板橋區,華中里,1986,5410
65000010091,新北市板橋區,僑中里,1560,4343
65000010092,新北市板橋區,中山里,3134,7164
65000010093,新北市板橋區,復興里,274,978
65000010094,新北市板橋區,大安里,1530,4026
65000010095,新北市板橋區,福安里,3431,7510
65000010096,新北市板橋區,聚安里,1992,5341
65000010097,新北市板橋區,龍安里,1087,2850
65000010098,新北市板橋區,崑崙里,3766,10249
65000010099,新北市板橋區,溪洲里,2230,6140
65000010100,新北市板橋區,溪北里,1366,3659
65000010101,新北市板橋區,香雅里,1179,2811
65000010102,新北市板橋區,新生里,1592,4371
65000010103,新北市板橋區,文德里,1229,3077
65000010104,新北市板橋區,文化里,1410,3447
65000010105,新北市板橋區,新海里,1249,3529
65000010106,新北市板橋區,莒光里,1151,2877
65000010107,新北市板橋區,富貴里,887,2315
65000010108,新北市板橋區,正泰里,1137,3081
65000010109,新北市板橋區,民生里,936,2334
65000010110,新北市板橋區,後埔里,1606,3792
65000010111,新北市板橋區,華福里,762,2022
65000010112,新北市板橋區,堂春里,1535,4455
65000010113,新北市板橋區,成和里,2852,7458
65000010114,新北市板橋區,光榮里,1052,2631
65000010115,新北市板橋區,民安里,872,2204
65000010116,新北市板橋區,陽明里,1046,2708
65000010117,新北市板橋區,朝陽里,1294,3457
65000010118,新北市板橋區,松柏里,934,2285
65000010119,新北市板橋區,文聖里,1447,4035
65000010120,新北市板橋區,居仁里,1575,4022
65000010121,新北市板橋區,莊敬里,1698,4518
65000010122,新北市板橋區,東安里,896,2616
65000010123,新北市板橋區,五權里,1584,4194
65000010124,新北市板橋區,溪福里,5199,14832
65000010125,新北市板橋區,大觀里,1337,3792
65000010126,新北市板橋區,歡園里,471,1250
65000020001,新北市三重區,大有里,2024,5359
65000020002,新北市三重區,二重里,590,1640
65000020003,新北市三重區,頂崁里,1120,2709
65000020004,新北市三重區,谷王里,403,1004
65000020005,新北市三重區,中興里,1663,4046
65000020006,新北市三重區,德厚里,171,374
65000020007,新北市三重區,成功里,2929,6718
65000020008,新北市三重區,福祉里,2448,5896
65000020009,新北市三重區,福民里,1342,3496
65000020010,新北市三重區,過田里,5519,9894
65000020011,新北市三重區,錦田里,872,2162
65000020012,新北市三重區,重明里,1608,3906
65000020013,新北市三重區,光田里,1966,4450
65000020014,新北市三重區,光陽里,2659,6364
65000020015,新北市三重區,田心里,1639,4157
65000020016,新北市三重區,福田里,1261,3491
65000020017,新北市三重區,田中里,2366,6534
65000020018,新北市三重區,田安里,2432,6340
65000020019,新北市三重區,三民里,1302,3492
65000020020,新北市三重區,光明里,3103,7740
65000020021,新北市三重區,光正里,1342,2714
65000020022,新北市三重區,同安里,617,1484
65000020023,新北市三重區,同慶里,747,1810
65000020024,新北市三重區,菜寮里,938,2320
65000020025,新北市三重區,永春里,798,1949
65000020026,新北市三重區,中正里,568,1377
65000020027,新北市三重區,吉利里,649,1424
65000020028,新北市三重區,大同里,939,2045
65000020029,新北市三重區,中民里,519,1256
65000020030,新北市三重區,平和里,646,1514
65000020031,新北市三重區,大安里,683,1681
65000020032,新北市三重區,仁德里,900,1980
65000020033,新北市三重區,忠孝里,780,1849
65000020034,新北市三重區,仁義里,583,1363
65000020035,新北市三重區,光榮里,676,1440
65000020036,新北市三重區,光輝里,627,1554
65000020037,新北市三重區,福星里,604,1200
65000020038,新北市三重區,福利里,1042,2304
65000020039,新北市三重區,清和里,1952,4061
65000020040,新北市三重區,永興里,753,1500
65000020041,新北市三重區,中山里,1227,2796
65000020042,新北市三重區,大園里,1166,2894
65000020043,新北市三重區,國隆里,1124,2701
65000020044,新北市三重區,重陽里,1428,3655
65000020045,新北市三重區,民生里,1771,4411
65000020046,新北市三重區,重新里,680,1541
65000020047,新北市三重區,正德里,515,1161
65000020048,新北市三重區,正義里,768,1846
65000020049,新北市三重區,正安里,854,2029
65000020050,新北市三重區,自強里,766,1854
65000020051,新北市三重區,文化里,944,2286
65000020052,新北市三重區,中央里,874,1903
65000020053,新北市三重區,雙園里,409,955
65000020054,新北市三重區,錦通里,647,1465
65000020055,新北市三重區,錦安里,780,1830
65000020056,新北市三重區,長安里,894,2188
65000020057,新北市三重區,光華里,1115,2313
65000020058,新北市三重區,長生里,393,905
65000020059,新北市三重區,開元里,733,1564
65000020060,新北市三重區,大德里,361,871
65000020061,新北市三重區,長元里,1047,2496
65000020062,新北市三重區,長江里,895,2088
65000020063,新北市三重區,長泰里,937,2223
65000020064,新北市三重區,長福里,670,1595
65000020065,新北市三重區,介壽里,518,1196
65000020066,新北市三重區,萬壽里,816,1990
65000020067,新北市三重區,錦江里,957,2376
65000020068,新北市三重區,龍濱里,1296,3364
65000020069,新北市三重區,龍門里,794,1906
65000020070,新北市三重區,秀江里,510,1309
65000020071,新北市三重區,奕壽里,783,1755
65000020072,新北市三重區,三安里,1238,2730
65000020073,新北市三重區,福安里,1246,3047
65000020074,新北市三重區,信安里,926,2085
65000020075,新北市三重區,安慶里,903,2081
65000020076,新北市三重區,幸福里,1913,4749
65000020077,新北市三重區,六合里,1530,3840
65000020078,新北市三重區,六福里,2091,6025
65000020079,新北市三重區,順德里,889,2288
65000020080,新北市三重區,承德里,655,1848
65000020081,新北市三重區,瑞德里,939,2486
65000020082,新北市三重區,崇德里,1559,3991
65000020083,新北市三重區,厚德里,1440,3694
65000020084,新北市三重區,維德里,1164,2990
65000020085,新北市三重區,尚德里,1217,3116
65000020086,新北市三重區,培德里,1436,3813
65000020087,新北市三重區,永德里,1916,5117
65000020088,新北市三重區,永盛里,1265,3363
65000020089,新北市三重區,永福里,2007,5473
65000020090,新北市三重區,永清里,2015,5627
65000020091,新北市三重區,永安里,1540,4266
65000020092,新北市三重區,永煇里,977,2553
65000020093,新北市三重區,溪美里,3630,8940
65000020094,新北市三重區,福隆里,1838,4722
65000020095,新北市三重區,五常里,1699,4670
65000020096,新北市三重區,五福里,1681,4020
65000020097,新北市三重區,仁忠里,1274,3264
65000020098,新北市三重區,慈福里,946,2261
65000020099,新北市三重區,慈生里,883,2313
65000020100,新北市三重區,慈惠里,929,2305
65000020101,新北市三重區,慈愛里,1361,3497
65000020102,新北市三重區,慈化里,958,2607
65000020103,新北市三重區,慈祐里,1941,5150
65000020104,新北市三重區,五華里,2149,5403
65000020105,新北市三重區,富貴里,2952,6799
65000020106,新北市三重區,富華里,1380,3436
65000020107,新北市三重區,富福里,809,2149
65000020108,新北市三重區,碧華里,3931,8842
65000020109,新北市三重區,五谷里,864,1937
65000020110,新北市三重區,博愛里,1643,4605
65000020111,新北市三重區,福德里,1811,4304
65000020112,新北市三重區,永吉里,1177,2998
65000020113,新北市三重區,永發里,2203,6042
65000020114,新北市三重區,永順里,1896,5312
65000020115,新北市三重區,永豐里,2159,6137
65000020116,新北市三重區,立德里,1319,3457
65000020117,新北市三重區,福樂里,1538,3838
65000020118,新北市三重區,仁華里,1734,4452
65000020119,新北市三重區,五順里,1519,4071
65000030001,新北市中和區,中原里,3737,8005
65000030002,新北市中和區,平河里,3805,9298
65000030003,新北市中和區,信和里,1650,4347
65000030004,新北市中和區,仁和里,1461,4002
65000030005,新北市中和區,中正里,1558,3967
65000030006,新北市中和區,建和里,1417,3517
65000030007,新北市中和區,連和里,1244,2421
65000030008,新北市中和區,連城里,2644,6538
65000030009,新北市中和區,力行里,2457,6175
65000030010,新北市中和區,枋寮里,1565,3797
65000030011,新北市中和區,漳和里,1763,3945
65000030012,新北市中和區,廟美里,1774,4451
65000030013,新北市中和區,福真里,1744,4127
65000030014,新北市中和區,福善里,1873,4282
65000030015,新北市中和區,福美里,1719,4440
65000030016,新北市中和區,福祥里,2102,5104
65000030017,新北市中和區,瓦󿾨里,2299,5624
65000030018,新北市中和區,福和里,1485,3637
65000030019,新北市中和區,佳和里,2197,4985
65000030020,新北市中和區,安樂里,1613,3575
65000030021,新北市中和區,安和里,1402,3152
65000030022,新北市中和區,安平里,2740,5933
65000030023,新北市中和區,中安里,2099,4321
65000030024,新北市中和區,泰安里,1456,3477
65000030025,新北市中和區,新南里,3566,8214
65000030026,新北市中和區,南山里,2213,5204
65000030027,新北市中和區,秀山里,1837,4553
65000030028,新北市中和區,秀成里,1361,3493
65000030029,新北市中和區,秀福里,2008,4811
65000030030,新北市中和區,秀景里,2896,6395
65000030031,新北市中和區,秀明里,2377,5057
65000030032,新北市中和區,秀峰里,2393,4845
65000030033,新北市中和區,秀仁里,1488,3461
65000030034,新北市中和區,頂南里,1107,2950
65000030035,新北市中和區,華新里,3236,7901
65000030036,新北市中和區,東南里,1779,4263
65000030037,新北市中和區,華南里,2123,5143
65000030038,新北市中和區,忠孝里,1855,4708
65000030039,新北市中和區,崇南里,1914,4311
65000030040,新北市中和區,景南里,1311,3143
65000030041,新北市中和區,橫路里,123,327
65000030042,新北市中和區,內南里,1842,5050
65000030043,新北市中和區,壽南里,1048,2494
65000030044,新北市中和區,外南里,4406,7592
65000030045,新北市中和區,復興里,2052,5095
65000030046,新北市中和區,和興里,1937,4494
65000030047,新北市中和區,景平里,2542,5440
65000030048,新北市中和區,景新里,1494,3574
65000030049,新北市中和區,景福里,2684,5778
65000030050,新北市中和區,景安里,2135,4895
65000030051,新北市中和區,景文里,1657,3832
65000030052,新北市中和區,錦和里,2057,5680
65000030053,新北市中和區,錦昌里,972,2324
65000030054,新北市中和區,灰󿾨里,258,822
65000030055,新北市中和區,積穗里,3490,8379
65000030056,新北市中和區,民享里,920,2481
65000030057,新北市中和區,員山里,2853,7016
65000030058,新北市中和區,嘉穗里,1060,2925
65000030059,新北市中和區,文元里,2015,5217
65000030060,新北市中和區,嘉新里,1483,4094
65000030061,新北市中和區,民安里,2021,5300
65000030062,新北市中和區,安穗里,1887,4720
65000030063,新北市中和區,瑞穗里,1006,2482
65000030064,新北市中和區,明穗里,1680,4625
65000030065,新北市中和區,清穗里,1294,3241
65000030066,新北市中和區,自強里,1914,5068
65000030067,新北市中和區,德穗里,1832,4598
65000030068,新北市中和區,民生里,1763,4181
65000030069,新北市中和區,國光里,1506,3873
65000030070,新北市中和區,壽德里,1865,4724
65000030071,新北市中和區,明德里,1554,4075
65000030072,新北市中和區,秀水里,1590,3825
65000030073,新北市中和區,德行里,2859,6796
65000030074,新北市中和區,宜安里,859,1911
65000030075,新北市中和區,安順里,1958,4296
65000030076,新北市中和區,秀義里,1113,2743
65000030077,新北市中和區,秀士里,1075,2471
65000030078,新北市中和區,興南里,1264,3065
65000030079,新北市中和區,景本里,892,2087
65000030080,新北市中和區,福南里,1579,4207
65000030081,新北市中和區,中興里,2840,7034
65000030082,新北市中和區,吉興里,1331,3059
65000030083,新北市中和區,中山里,1089,2787
65000030084,新北市中和區,碧河里,2232,5168
65000030085,新北市中和區,錦中里,1619,4327
65000030086,新北市中和區,錦盛里,1471,3943
65000030087,新北市中和區,民有里,1114,2746
65000030088,新北市中和區,員富里,1537,3755
65000030089,新北市中和區,嘉慶里,1696,4468
65000030090,新北市中和區,冠穗里,1280,3303
65000030091,新北市中和區,國華里,1367,3493
65000030092,新北市中和區,正南里,1375,3483
65000030093,新北市中和區,正行里,1258,2975
65000040001,新北市永和區,福林里,1441,3416
65000040002,新北市永和區,文化里,1221,2818
65000040003,新北市永和區,豫溪里,2762,4914
65000040004,新北市永和區,光明里,1292,2984
65000040005,新北市永和區,仁愛里,1175,2693
65000040006,新北市永和區,永貞里,1424,3380
65000040007,新北市永和區,永福里,1131,2760
65000040008,新北市永和區,民治里,1249,2966
65000040009,新北市永和區,永成里,415,979
65000040010,新北市永和區,忠義里,300,778
65000040011,新北市永和區,永元里,1932,4848
65000040012,新北市永和區,秀林里,1685,4151
65000040013,新北市永和區,保安里,2944,7219
65000040014,新北市永和區,中溪里,2102,5129
65000040015,新北市永和區,永安里,1829,4201
65000040016,新北市永和區,民族里,1902,4826
65000040017,新北市永和區,民權里,1751,4672
65000040018,新北市永和區,中興里,1448,3176
65000040019,新北市永和區,勵行里,577,1238
65000040020,新北市永和區,秀朗里,1566,3916
65000040021,新北市永和區,秀成里,1187,2909
65000040022,新北市永和區,上溪里,907,1897
65000040023,新北市永和區,竹林里,1543,3702
65000040024,新北市永和區,雙和里,1726,4018
65000040025,新北市永和區,安和里,1722,3843
65000040026,新北市永和區,水源里,1640,4003
65000040027,新北市永和區,協和里,1290,2969
65000040028,新北市永和區,河堤里,1571,3476
65000040029,新北市永和區,頂溪里,1071,2487
65000040030,新北市永和區,潭墘里,1945,4675
65000040031,新北市永和區,潭安里,2021,4870
65000040032,新北市永和區,大新里,1217,2652
65000040033,新北市永和區,保平里,1999,4895
65000040034,新北市永和區,民本里,1614,4185
65000040035,新北市永和區,民樂里,1928,4723
65000040036,新北市永和區,光復里,781,1753
65000040037,新北市永和區,復興里,1033,2424
65000040038,新北市永和區,福和里,2315,5198
65000040039,新北市永和區,得和里,1838,4335
65000040040,新北市永和區,智光里,1383,3373
65000040041,新北市永和區,新生里,425,919
65000040042,新北市永和區,大同里,497,1049
65000040043,新北市永和區,前溪里,991,2150
65000040044,新北市永和區,和平里,2083,4927
65000040045,新北市永和區,新廍里,1003,2235
65000040046,新北市永和區,下溪里,1975,4609
65000040047,新北市永和區,秀和里,2059,4989
65000040048,新北市永和區,河濱里,1324,3268
65000040049,新北市永和區,民生里,1568,4156
65000040050,新北市永和區,秀得里,1070,2762
65000040051,新北市永和區,上林里,1485,3520
65000040052,新北市永和區,網溪里,504,1203
65000040053,新北市永和區,正興里,1009,2187
65000040054,新北市永和區,永興里,1318,3241
65000040055,新北市永和區,桂林里,1535,3776
65000040056,新北市永和區,店街里,1887,4206
65000040057,新北市永和區,信義里,1221,2594
65000040058,新北市永和區,後溪里,867,1982
65000040059,新北市永和區,民富里,1133,3070
65000040060,新北市永和區,秀元里,1230,3135
65000040061,新北市永和區,永樂里,1101,2438
65000040062,新北市永和區,保順里,4579,10846
65000050001,新北市新莊區,海山里,2169,5505
65000050002,新北市新莊區,頭前里,4740,10295
65000050003,新北市新莊區,國泰里,545,1492
65000050004,新北市新莊區,全安里,1807,4614
65000050005,新北市新莊區,福基里,2499,5540
65000050006,新北市新莊區,豐年里,1390,3809
65000050007,新北市新莊區,忠孝里,2318,5424
65000050008,新北市新莊區,恆安里,1683,4619
65000050009,新北市新莊區,後港里,2604,7223
65000050010,新北市新莊區,文衡里,865,2224
65000050011,新北市新莊區,中美里,2441,6362
65000050012,新北市新莊區,八德里,1203,3164
65000050013,新北市新莊區,興漢里,1357,3408
65000050014,新北市新莊區,中和里,1701,4650
65000050015,新北市新莊區,西盛里,5089,13182
65000050016,新北市新莊區,榮和里,3394,5737
65000050017,新北市新莊區,中泰里,1777,4581
65000050018,新北市新莊區,瓊林里,2124,5882
65000050019,新北市新莊區,文德里,741,1852
65000050020,新北市新莊區,中誠里,880,2197
65000050021,新北市新莊區,裕民里,2653,7287
65000050022,新北市新莊區,文明里,675,1795
65000050023,新北市新莊區,中港里,2249,6641
65000050024,新北市新莊區,富國里,917,2343
65000050025,新北市新莊區,思源里,2118,5505
65000050026,新北市新莊區,立人里,764,2012
65000050027,新北市新莊區,南港里,1978,5351
65000050028,新北市新莊區,仁愛里,1065,2720
65000050029,新北市新莊區,立德里,1014,2617
65000050030,新北市新莊區,信義里,2095,5513
65000050031,新北市新莊區,立言里,1877,5105
65000050032,新北市新莊區,民安里,2164,6217
65000050033,新北市新莊區,和平里,1780,4909
65000050034,新北市新莊區,立功里,1420,3733
65000050035,新北市新莊區,民本里,1150,3076
65000050036,新北市新莊區,化成里,1592,3970
65000050037,新北市新莊區,立志里,1544,4020
65000050038,新北市新莊區,光華里,2720,7643
65000050039,新北市新莊區,思賢里,1605,4364
65000050040,新北市新莊區,營盤里,729,1776
65000050041,新北市新莊區,光榮里,1576,4720
65000050042,新北市新莊區,自強里,1115,2668
65000050043,新北市新莊區,丹鳳里,3624,9390
65000050044,新北市新莊區,光明里,1736,5208
65000050045,新北市新莊區,自立里,2202,5461
65000050046,新北市新莊區,合鳳里,1730,4733
65000050047,新北市新莊區,幸福里,1670,4446
65000050048,新北市新莊區,雙鳳里,4792,12496
65000050049,新北市新莊區,自信里,978,2525
65000050050,新北市新莊區,龍鳳里,4382,10947
65000050051,新北市新莊區,中華里,1231,2977
65000050052,新北市新莊區,中隆里,2099,5418
65000050053,新北市新莊區,中原里,5703,13698
65000050054,新北市新莊區,中信里,3206,9208
65000050055,新北市新莊區,四維里,1871,4818
65000050056,新北市新莊區,建福里,904,2475
65000050057,新北市新莊區,中宏里,1385,3729
65000050058,新北市新莊區,中全里,1330,3651
65000050059,新北市新莊區,立泰里,1931,5152
65000050060,新北市新莊區,全泰里,1932,5079
65000050061,新北市新莊區,仁義里,1431,3776
65000050062,新北市新莊區,立基里,2343,6254
65000050063,新北市新莊區,昌明里,1340,3689
65000050064,新北市新莊區,昌平里,4111,8935
65000050065,新北市新莊區,文聖里,1402,3490
65000050066,新北市新莊區,萬安里,1475,3796
65000050067,新北市新莊區,龍安里,866,2415
65000050068,新北市新莊區,福營里,1115,2540
65000050069,新北市新莊區,後德里,1109,3108
65000050070,新北市新莊區,建安里,2566,6871
65000050071,新北市新莊區,成德里,1861,5294
65000050072,新北市新莊區,福興里,2255,6176
65000050073,新北市新莊區,昌信里,1480,3986
65000050074,新北市新莊區,昌隆里,1707,4542
65000050075,新北市新莊區,中平里,3732,9940
65000050076,新北市新莊區,立廷里,5109,13074
65000050077,新北市新莊區,泰豐里,1058,2587
65000050078,新北市新莊區,富民里,1517,3916
65000050079,新北市新莊區,龍福里,868,2287
65000050080,新北市新莊區,祥鳳里,933,2584
65000050081,新北市新莊區,民全里,1389,3889
65000050082,新北市新莊區,民有里,1574,4124
65000050083,新北市新莊區,光正里,1616,4798
65000050084,新北市新莊區,光和里,969,2891
65000060001,新北市新店區,國豐里,1382,3171
65000060002,新北市新店區,明德里,1800,3954
65000060003,新北市新店區,大豐里,1599,3713
65000060004,新北市新店區,大同里,1747,3851
65000060005,新北市新店區,江陵里,2331,5462
65000060006,新北市新店區,寶興里,2594,5479
65000060007,新北市新店區,寶安里,2605,5404
65000060008,新北市新店區,信義里,3199,6566
65000060009,新北市新店區,忠孝里,1312,2756
65000060010,新北市新店區,大鵬里,1281,2670
65000060011,新北市新店區,太平里,1434,3144
65000060012,新北市新店區,頂城里,713,1683
65000060013,新北市新店區,下城里,1397,3363
65000060014,新北市新店區,柴埕里,3779,9483
65000060015,新北市新店區,永安里,2015,5254
65000060016,新北市新店區,公崙里,5609,13948
65000060017,新北市新店區,德安里,2326,6294
65000060018,新北市新店區,雙城里,2214,5856
65000060019,新北市新店區,日興里,2307,5957
65000060020,新北市新店區,玫瑰里,2355,6087
65000060021,新北市新店區,塗潭里,361,1053
65000060022,新北市新店區,美潭里,2171,5283
65000060023,新北市新店區,員潭里,2321,5402
65000060024,新北市新店區,雙坑里,310,821
65000060025,新北市新店區,粗坑里,1361,3159
65000060026,新北市新店區,屈尺里,908,2480
65000060027,新北市新店區,龜山里,725,1737
65000060028,新北市新店區,廣興里,601,1394
65000060029,新北市新店區,直潭里,489,1302
65000060030,新北市新店區,青潭里,2291,5481
65000060031,新北市新店區,新店里,838,1836
65000060032,新北市新店區,張南里,1278,2341
65000060033,新北市新店區,國校里,1125,2590
65000060034,新北市新店區,文中里,822,1793
65000060035,新北市新店區,廣明里,416,853
65000060036,新北市新店區,文明里,1067,2467
65000060037,新北市新店區,中興里,4247,7523
65000060038,新北市新店區,新生里,2594,5801
65000060039,新北市新店區,新德里,1272,2736
65000060040,新北市新店區,張北里,4198,9326
65000060041,新北市新店區,五峯里,3500,7824
65000060042,新北市新店區,新安里,1972,4086
65000060043,新北市新店區,忠誠里,1100,2483
65000060044,新北市新店區,中正里,2670,6218
65000060045,新北市新店區,中華里,1997,4376
65000060046,新北市新店區,仁愛里,954,2029
65000060047,新北市新店區,百忍里,1642,3844
65000060048,新北市新店區,百和里,1388,3237
65000060049,新北市新店區,福德里,1634,3891
65000060050,新北市新店區,百福里,1679,3778
65000060051,新北市新店區,福民里,1868,4156
65000060052,新北市新店區,中山里,2329,4777
65000060053,新北市新店區,和平里,657,1447
65000060054,新北市新店區,中央里,2729,5917
65000060055,新北市新店區,明城里,1410,3564
65000060056,新北市新店區,安和里,3388,8238
65000060057,新北市新店區,吉祥里,1842,4819
65000060058,新北市新店區,寶福里,3297,7421
65000060059,新北市新店區,小城里,1454,3796
65000060060,新北市新店區,香坡里,5140,11469
65000060061,新北市新店區,建國里,1345,3092
65000060062,新北市新店區,復興里,1454,3302
65000060063,新北市新店區,美城里,1098,2746
65000060064,新北市新店區,安昌里,2433,5667
65000060065,新北市新店區,長春里,1143,2571
65000060066,新北市新店區,新和里,1777,4256
65000060067,新北市新店區,永平里,2195,5831
65000060068,新北市新店區,達觀里,2053,4081
65000060069,新北市新店區,華城里,1326,2820
65000070001,新北市樹林區,三多里,1467,4146
65000070002,新北市樹林區,三福里,1547,4174
65000070003,新北市樹林區,三興里,1820,4977
65000070004,新北市樹林區,圳安里,1369,3822
65000070005,新北市樹林區,保安里,2341,6387
65000070006,新北市樹林區,潭底里,2229,5137
65000070007,新北市樹林區,󿾵寮里,1825,5155
65000070008,新北市樹林區,樹德里,1401,3680
65000070009,新北市樹林區,樹西里,2045,5329
65000070010,新北市樹林區,樹南里,1576,4292
65000070011,新北市樹林區,樹人里,1253,3517
65000070012,新北市樹林區,坡內里,606,1764
65000070013,新北市樹林區,樹東里,552,1214
65000070014,新北市樹林區,大同里,1334,3695
65000070015,新北市樹林區,和平里,1415,3959
65000070016,新北市樹林區,彭厝里,1740,5141
65000070017,新北市樹林區,彭福里,2138,5682
65000070018,新北市樹林區,東山里,1154,3276
65000070019,新北市樹林區,東陽里,2274,6246
65000070020,新北市樹林區,東昇里,1949,5243
65000070021,新北市樹林區,樂山里,748,2109
65000070022,新北市樹林區,東園里,675,1749
65000070023,新北市樹林區,西園里,658,1875
65000070024,新北市樹林區,南園里,6713,16185
65000070025,新北市樹林區,北園里,771,2262
65000070026,新北市樹林區,柑園里,4295,10375
65000070027,新北市樹林區,樹北里,437,936
65000070028,新北市樹林區,圳福里,1620,4602
65000070029,新北市樹林區,樹興里,1404,3789
65000070030,新北市樹林區,樹福里,1471,3670
65000070031,新北市樹林區,光興里,1460,4165
65000070032,新北市樹林區,金寮里,1640,4694
65000070033,新北市樹林區,彭興里,2106,5994
65000070034,新北市樹林區,文林里,1908,5290
65000070035,新北市樹林區,山佳里,2016,6031
65000070036,新北市樹林區,中山里,1919,5529
65000070037,新北市樹林區,育英里,1275,3319
65000070038,新北市樹林區,中華里,1238,3529
65000070039,新北市樹林區,太順里,938,2867
65000070040,新北市樹林區,圳民里,1132,2950
65000070041,新北市樹林區,圳生里,574,1594
65000070042,新北市樹林區,三龍里,779,2147
65000080001,新北市鶯歌區,東鶯里,416,1090
65000080002,新北市鶯歌區,西鶯里,877,2293
65000080003,新北市鶯歌區,南鶯里,2168,5895
65000080004,新北市鶯歌區,北鶯里,1998,4528
65000080005,新北市鶯歌區,中鶯里,409,1090
65000080006,新北市鶯歌區,建德里,217,611
65000080007,新北市鶯歌區,同慶里,613,1687
65000080008,新北市鶯歌區,永昌里,2910,8899
65000080009,新北市鶯歌區,南靖里,1283,3686
65000080010,新北市鶯歌區,尖山里,3551,9324
65000080011,新北市鶯歌區,二橋里,3151,8782
65000080012,新北市鶯歌區,二甲里,343,982
65000080013,新北市鶯歌區,東湖里,134,280
65000080014,新北市鶯歌區,大湖里,1926,5134
