"StationID","StationName","PositionLat","PositionLon"
"5220","太麻里","22.61879","121.00505"
"5230","知本","22.71008","121.06128"
"5240","康樂","22.76406","121.09338"
"5999","潮州基地","22.52231","120.52642"
"6000","臺東","22.79375","121.12326"
"6010","山里","22.86194","121.13778"
"6020","鹿野","22.91251","121.13696"
"6030","瑞源","22.95613","121.15902"
"6040","瑞和","22.98001","121.15573"
"6050","關山","23.04564","121.16441"
"6060","海端","23.10257","121.17695"
"6070","池上","23.12628","121.21945"
"6080","富里","23.17935","121.24864"
"6090","東竹","23.22612","121.27844"
"6100","東里","23.27127","121.30575"
"6110","玉里","23.33161","121.31181"
"6120","三民","23.42463","121.34561"
"6130","瑞穗","23.49739","121.37689"
"6140","富源","23.58028","121.38003"
"6150","大富","23.60572","121.38969"
"6160","光復","23.66633","121.42125"
"6170","萬榮","23.71199","121.41907"
"6180","鳳林","23.74625","121.44708"
"6190","南平","23.78228","121.45833"
"6200","林榮新光","23.80167","121.46166"
"6210","豐田","23.84836","121.49619"
"6220","壽豐","23.86901","121.51064"
"6230","平和","23.88275","121.52036"
"6240","志學","23.90751","121.52947"
"6250","吉安","23.96825","121.58261"
"7000","花蓮","23.99264","121.60158"
"7010","北埔","24.03251","121.60189"
"7020","景美","24.09039","121.61103"
"7030","新城","24.12761","121.64103"
"7040","崇德","24.17111","121.65555"
"7050","和仁","24.24219","121.71192"
"7060","和平","24.29825","121.75322"
"7070","漢本","24.33561","121.76878"
"7080","武塔","24.44879","121.77601"
"7090","南澳","24.46342","121.80103"
"7100","東澳","24.51828","121.83071"
"7110","永樂","24.56843","121.84458"
"7120","蘇澳","24.59521","121.85144"
"7130","蘇澳新","24.60852","121.82719"
"7140","新馬","24.61535","121.82292"
"7150","冬山","24.63627","121.79212"
"7160","羅東","24.67795","121.77424"
"7170","中里","24.69415","121.77526"
"7180","二結","24.70529","121.77411"
"7190","宜蘭","24.75462","121.75791"
"7200","四城","24.78684","121.76268"
"7210","礁溪","24.82705","121.77523"
"7220","頂埔","24.84383","121.80918"
"7230","頭城","24.85898","121.82253"
"7240","外澳","24.88371","121.84576"
"7250","龜山","24.90481","121.86886"
"7260","大溪","24.93836","121.88983"
"7270","大里","24.96688","121.92257"
"7280","石城","24.97837","121.94546"
"7290","福隆","25.01598","121.94471"
"7300","貢寮","25.02209","121.90867"
"7310","雙溪","25.03858","121.86645"
"7320","牡丹","25.05877","121.85194"
"7330","三貂嶺","25.06555","121.82259"
"7331","大華","25.04993","121.79751"
"7332","十分","25.04111","121.77514"
"7333","望古","25.03445","121.76349"
"7334","嶺腳","25.03021","121.74784"
"7335","平溪","25.02552","121.73994"
"7336","菁桐","25.02384","121.72394"
"7350","猴硐","25.08711","121.82741"
"7360","瑞芳","25.10861","121.80596"
"7361","海科館","25.13768","121.80003"
"7362","八斗子","25.13534","121.80285"
"7380","四腳亭","25.10281","121.76192"
"7390","暖暖","25.10224","121.74048"
