StationUID,StationID,StationName,StationClass,LocationCity,LocationTown,LocationTownCode,PositionLon,PositionLat
TRA-3270,3270,松竹,4,臺中市,北屯區,66000080,120.70197,24.17983
TRA-3280,3280,太原,4,臺中市,北屯區,66000080,120.69981,24.16413
TRA-3290,3290,精武,4,臺中市,東區,66000020,120.69773,24.14917
TRA-3300,3300,臺中,0,臺中市,東區,66000020,120.68527,24.13661
TRA-3310,3310,五權,4,臺中市,南區,66000030,120.66644,24.12877
TRA-3320,3320,大慶,4,臺中市,南區,66000030,120.64791,24.11891
TRA-3330,3330,烏日,4,臺中市,烏日區,66000230,120.62244,24.10867
TRA-3340,3340,新烏日,2,臺中市,烏日區,66000230,120.61429,24.10976
TRA-3350,3350,成功,3,臺中市,烏日區,66000230,120.59021,24.11424
TRA-3360,3360,彰化,1,彰化縣,彰化市,10007010,120.53828,24.08171
TRA-3370,3370,花壇,4,彰化縣,花壇鄉,10007080,120.53759,24.02521
TRA-3380,3380,大村,4,彰化縣,大村鄉,10007130,120.56068,23.99003
TRA-3390,3390,員林,1,彰化縣,員林市,10007100,120.56995,23.95933
TRA-3400,3400,永靖,5,彰化縣,永靖鄉,10007160,120.57165,23.92811
TRA-3410,3410,社頭,3,彰化縣,社頭鄉,10007170,120.58082,23.89571
TRA-3420,3420,田中,2,彰化縣,田中鎮,10007120,120.59121,23.85827
TRA-3430,3430,二水,2,彰化縣,二水鄉,10007180,120.61805,23.81321
TRA-3431,3431,源泉,5,彰化縣,二水鄉,10007180,120.64208,23.79846
TRA-3432,3432,濁水,4,南投縣,名間鄉,10008060,120.70467,23.83467
TRA-3433,3433,龍泉,5,南投縣,集集鎮,10008050,120.74996,23.83521
TRA-3434,3434,集集,5,南投縣,集集鎮,10008050,120.78491,23.82653
TRA-3435,3435,水里,4,南投縣,水里鄉,10008110,120.85333,23.81844
TRA-3436,3436,車埕,5,南投縣,水里鄉,10008110,120.86572,23.83263
TRA-3450,3450,林內,3,雲林縣,林內鄉,10009100,120.61499,23.75967
TRA-3460,3460,石榴,5,雲林縣,斗六市,10009010,120.57998,23.73167
TRA-3470,3470,斗六,1,雲林縣,斗六市,10009010,120.54117,23.71157
TRA-3480,3480,斗南,2,雲林縣,斗南鎮,10009020,120.48082,23.67302
TRA-3490,3490,石龜,5,雲林縣,斗南鎮,10009020,120.47106,23.63951
TRA-4050,4050,大林,3,嘉義縣,大林鎮,10010040,120.45585,23.60112
TRA-4060,4060,民雄,3,嘉義縣,民雄鄉,10010050,120.43136,23.55502
TRA-4070,4070,嘉北,4,嘉義市,東區,10020010,120.44852,23.49985
TRA-4080,4080,嘉義,1,嘉義市,西區,10020020,120.44124,23.47902
TRA-4090,4090,水上,4,嘉義縣,水上鄉,10010120,120.39961,23.43389
TRA-4100,4100,南靖,4,嘉義縣,水上鄉,10010120,120.38647,23.41346
TRA-4110,4110,後壁,4,臺南市,後壁區,67000050,120.36058,23.36626
TRA-4120,4120,新營,1,臺南市,新營區,67000010,120.32344,23.30658
TRA-4130,4130,柳營,4,臺南市,柳營區,67000040,120.32252,23.27762
